source_portal,source_url,slug,brand_slug,name,brand,description,availability,currency,price_low_eur,price_high_eur,overall_rating,power,control,maneuverability,sweet_spot,ball_output,total,player_type,shape,level,balance,feel,surface,game_type,season,core_material,face_material,frame_material,racket_finish
pala-hack,https://pala-hack.com/en/padel-rackets/starvie/starvie-radar-2024/,starvie-radar-2024,starvie,Starvie Radar 2024,StarVie,This padel racket StarVie Teardrop is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,117.9,176.0,7.85,8.5,7.75,8.0,7.0,8.0,7.85,"Man, Women",Teardrop,Beginner,Medium,"Medium, Soft",Smooth,Power,2024,Eva Ultra Speed Soft,Glass Fiber Aluminized,Carbon + Glass Fiber,
pala-hack,https://pala-hack.com/en/padel-rackets/starvie/starvie-dronos-galaxy-speed-20-2023/,starvie-dronos-galaxy-speed-20-2023,starvie,Starvie Dronos Galaxy Speed 2.0 2023,StarVie,This padel racket StarVie Teardrop is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,205.12,269.9,8.3,8.0,8.0,8.0,8.5,9.0,8.3,"Man, Women",Teardrop,"Advanced, Intermediate",High,"Medium, Soft",Rough,Versatile,2023,Eva Ultra Speed Soft,Carbon 3K,Glass Fiber Aluminized + Carbon Fiber,Arenoso
pala-hack,https://pala-hack.com/en/padel-rackets/lok/lok-maxx-flow-gen-2-bea-caldera-2026/,lok-maxx-flow-gen-2-bea-caldera-2026,lok,Lok Maxx Flow Gen 2 Bea Caldera 2026,Lok,This padel racket Lok Round is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,270.0,300.0,7.5,8.25,7.5,6.5,7.5,7.75,7.5,"Man, Women",Round,Advanced,High,Medium,Rough,Versatile,2026,Eva Memory,Carbon 18K,Carbon Fiber,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/drop-shot/drop-shot-explorer-pro-40-2022/,drop-shot-explorer-pro-40-2022,drop-shot,Drop Shot Explorer Pro 4.0 2022,Drop Shot,This padel racket Drop Shot Round is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,82.87,104.9,6.9,6.5,6.5,7.0,7.0,7.5,6.9,"Man, Women",Round,"Advanced, Intermediate","High, Medium",Medium,Rough,Versatile,2022,Eva Tech,Carbon 12K,Carbon Twin Tube,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/kuikma/kuikma-pr-500-2022/,kuikma-pr-500-2022,kuikma,Kuikma PR 500 2022,Kuikma,This padel racket Kuikma Round is an ideal model for a level beginner and stands out for Control.,https://schema.org/InStock,EUR,,39.99,6.3,6.0,7.0,6.5,6.0,6.0,6.3,"Man, Women",Round,Intermediate,Low,Soft,Smooth,Control,2022,Eva Soft,Glass Fiber,Glass Fiber x2,
pala-hack,https://pala-hack.com/en/padel-rackets/kuikma/kuikma-pr-560-2022/,kuikma-pr-560-2022,kuikma,Kuikma PR 560 2022,Kuikma,This padel racket Kuikma Teardrop is an ideal model for a level beginner and stands out for Maneuverability.,https://schema.org/InStock,EUR,49.99,64.99,6.35,5.0,6.5,7.25,7.0,6.0,6.35,"Man, Women",Teardrop,Intermediate,Medium,Medium,Smooth,Control,2022,Eva Soft,Glass Fiber x3,Carbon High Modulus,
pala-hack,https://pala-hack.com/en/padel-rackets/kuikma/kuikma-pr-990-hybrid-hard-2022/,kuikma-pr-990-hybrid-hard-2022,kuikma,Kuikma PR 990 Hybrid Hard 2022,Kuikma,This padel racket Kuikma Teardrop is an ideal model for a level intermediate and stands out for Control.,https://schema.org/InStock,EUR,,109.99,8.25,8.5,8.75,8.5,8.0,7.5,8.25,"Man, Women",Teardrop,Advanced,Medium,Hard,Rough,Versatile,2022,Eva Black High Density,Glass Fiber x3 + Carbon Fiber 12K,Carbon Twin Tube,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/kuikma/kuikma-pr-990-hybrid-soft-2022/,kuikma-pr-990-hybrid-soft-2022,kuikma,Kuikma PR 990 Hybrid Soft 2022,Kuikma,This padel racket Kuikma Teardrop is an ideal model for a level intermediate and stands out for Maneuverability.,https://schema.org/InStock,EUR,64.99,109.99,7.95,7.5,7.75,8.5,8.0,8.0,7.95,"Man, Women",Teardrop,Intermediate,Medium,Soft,Rough,Versatile,2022,Eva Soft,Glass Fiber x3 + Carbon Fiber 12K,Carbon Twin Tube,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-adipower-32-ctrl-2023/,adidas-adipower-32-ctrl-2023,adidas,Adidas Adipower 3.2 Ctrl 2023,Adidas,This padel racket Adidas Round is an ideal model for a level intermediate and stands out for Control.,https://schema.org/InStock,EUR,290.5,350.0,8.55,8.25,9.75,9.0,8.5,7.25,8.55,"Man, Women",Round,Advanced,Medium,"Hard, Medium",Rough,Control,2023,Eva High Memory,Carbon Aluminized 15K,Carbon Fiber,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-adipower-multiweight-ctrl-2023/,adidas-adipower-multiweight-ctrl-2023,adidas,Adidas Adipower Multiweight Ctrl 2023,Adidas,This padel racket Adidas Round is an ideal model for a level intermediate and stands out for Maneuverability.,https://schema.org/InStock,EUR,308.0,400.0,8.55,8.25,8.75,9.0,8.5,8.25,8.55,Man,Round,Advanced,Medium,"Hard, Medium",Rough,Control,2023,Eva High Memory,Carbon 18K,Carbon Fiber,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-adipower-multiweight-master-ltd-2023/,adidas-adipower-multiweight-master-ltd-2023,adidas,Adidas Adipower Multiweight Master Ltd 2023,Adidas,This padel racket Adidas Round is an ideal model for a level intermediate and stands out for Sweet Spot.,https://schema.org/InStock,EUR,391.5,450.0,8.6,8.5,9.0,8.0,9.0,8.5,8.6,"Man, Women",Round,Advanced,High,"Hard, Medium",Rough,Control,2023,Eva High Memory,Carbon 18K,Carbon Fiber,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-adipower-team-2023/,adidas-adipower-team-2023,adidas,Adidas Adipower Team 2023,Adidas,This padel racket Adidas Diamond is an ideal model for a level intermediate and stands out for Sweet Spot.,https://schema.org/InStock,EUR,151.2,210.0,8.25,7.75,8.25,7.75,8.75,8.75,8.25,"Man, Women",Diamond,Advanced,High,"Medium, Soft",Rough,Power,2023,Eva Soft Performance,Glass Fiber,Glass Fiber,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-adipower-w-team-2023/,adidas-adipower-w-team-2023,adidas,Adidas Adipower W Team 2023,Adidas,This padel racket Adidas Round is an ideal model for a level intermediate and stands out for Maneuverability.,https://schema.org/InStock,EUR,170.0,200.0,8.0,5.0,8.5,9.5,8.5,8.5,8.0,Women,Round,Advanced,Medium,"Medium, Soft",Rough,Control,2023,Eva Soft Performance,Glass Fiber,Glass Fiber,Arenoso
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-drive-32-2023/,adidas-drive-32-2023,adidas,Adidas Drive 3.2 2023,Adidas,This padel racket Adidas Round is an ideal model for a level beginner and stands out for Sweet Spot.,https://schema.org/InStock,EUR,61.5,75.0,6.25,6.25,6.25,5.75,7.25,5.75,6.25,"Man, Women",Round,Beginner,Medium,"Medium, Soft",Smooth,Control,2023,Eva Soft Performance,Glass Fiber,Glass Fiber,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-drive-bronze-32-2023/,adidas-drive-bronze-32-2023,adidas,Adidas Drive Bronze 3.2 2023,Adidas,This padel racket Adidas Round is an ideal model for a level beginner and stands out for Sweet Spot.,https://schema.org/InStock,EUR,50.99,50.99,6.25,6.25,6.25,5.75,7.25,5.75,6.25,"Man, Women",Round,Beginner,Medium,Soft,Smooth,Control,2023,Eva Soft Performance,Glass Fiber,Glass Fiber,
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-drive-light-32-2023/,adidas-drive-light-32-2023,adidas,Adidas Drive Light 3.2 2023,Adidas,This padel racket Adidas Round is an ideal model for a level beginner and stands out for Sweet Spot.,https://schema.org/InStock,EUR,64.5,75.0,6.25,5.75,6.25,5.75,7.75,5.75,6.25,"Man, Women",Round,Beginner,Medium,"Medium, Soft",Smooth,Control,2023,Eva Soft Performance,Glass Fiber,Glass Fiber,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-match-bronze-32-2023/,adidas-match-bronze-32-2023,adidas,Adidas Match Bronze 3.2 2023,Adidas,This padel racket Adidas Round is an ideal model for a level beginner and stands out for Sweet Spot.,https://schema.org/InStock,EUR,56.7,70.0,6.25,6.25,6.75,5.25,7.25,5.75,6.25,"Man, Women",Round,Beginner,"High, Medium",Medium,Smooth,Control,2023,Eva Soft Performance,Glass Fiber,Glass Fiber,
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-metalbone-32-2023/,adidas-metalbone-32-2023,adidas,Adidas Metalbone 3.2 2023,Adidas,This padel racket Adidas Diamond is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,342.0,380.0,8.6,9.0,8.5,8.0,8.0,9.5,8.6,Man,Diamond,Advanced,High,Medium,Rough,Power,2023,Eva Soft Performance,Carbon Aluminized 2 to 1,Carbon Fiber,Arenoso
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-metalbone-w-team-2023/,adidas-metalbone-w-team-2023,adidas,Adidas Metalbone W Team 2023,Adidas,This padel racket Adidas Diamond is an ideal model for a level intermediate and stands out for Maneuverability.,https://schema.org/InStock,EUR,171.6,220.0,8.1,8.0,7.5,8.5,8.0,8.5,8.1,Women,Diamond,Advanced,High,"Medium, Soft",Rough,Power,2023,Eva Soft Performance,Glass Fiber,Carbon Fiber,Arenoso
pala-hack,https://pala-hack.com/en/padel-rackets/adidas/adidas-rx-1000-2023/,adidas-rx-1000-2023,adidas,Adidas RX 1000 2023,Adidas,This padel racket Adidas Round is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,110.0,110.0,7.0,7.0,6.5,7.0,7.0,7.5,7.0,"Man, Women",Round,Intermediate,Medium,"Medium, Soft",Smooth,Control,2023,Eva Soft Performance,Glass Fiber,Glass Fiber,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-air-veron-2023/,babolat-air-veron-2023,babolat,Babolat Air Veron 2023,Babolat,This padel racket Babolat Teardrop is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,189.6,240.0,8.45,8.75,8.25,7.75,8.75,8.75,8.45,"Man, Women",Teardrop,Advanced,Medium,Medium,Rough,Versatile,2023,Eva Black,Carbon Flex,Carbon Flex,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-air-vertuo-2023/,babolat-air-vertuo-2023,babolat,Babolat Air Vertuo 2023,Babolat,This padel racket Babolat Teardrop is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,153.0,180.0,8.15,7.75,7.25,7.75,8.75,9.25,8.15,"Man, Women",Teardrop,Intermediate,Medium,"Medium, Soft",Smooth,Versatile,2023,Eva,Glass Fiber,Carbon,Brillo
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-counter-veron-2023/,babolat-counter-veron-2023,babolat,Babolat Counter Veron 2023,Babolat,This padel racket Babolat Teardrop is an ideal model for a level intermediate and stands out for Sweet Spot.,https://schema.org/InStock,EUR,182.4,240.0,8.4,8.0,8.5,8.5,9.0,8.0,8.4,"Man, Women",Teardrop,Advanced,Medium,Medium,Rough,Versatile,2023,Eva Black,Carbon Flex + Glass Fiber,Carbon Flex,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-counter-vertuo-2023/,babolat-counter-vertuo-2023,babolat,Babolat Counter Vertuo 2023,Babolat,This padel racket Babolat Teardrop is an ideal model for a level intermediate and stands out for Maneuverability.,https://schema.org/InStock,EUR,149.4,180.0,8.45,6.75,8.25,9.25,8.75,9.25,8.45,"Man, Women",Teardrop,Intermediate,Medium,"Medium, Soft",Rough,Versatile,2023,Eva,Glass Fiber,Carbon,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-reflex-2023/,babolat-reflex-2023,babolat,Babolat Reflex 2023,Babolat,This padel racket Babolat Diamond is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,110.5,130.0,8.3,8.75,8.75,8.0,8.0,8.0,8.3,"Man, Women",Diamond,Intermediate,High,Medium,Smooth,Control,2023,Eva,Glass Fiber,Carbon + Glass Fiber,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-stima-energy-2023/,babolat-stima-energy-2023,babolat,Babolat Stima Energy 2023,Babolat,This padel racket Babolat Round is an ideal model for a level intermediate and stands out for Maneuverability.,https://schema.org/InStock,EUR,143.95,240.0,8.55,7.25,8.75,9.25,8.75,8.75,8.55,Women,Round,"Advanced, Intermediate",Medium,Medium,Rough,Control,2023,Eva,Carbon Flex,Carbon,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-stima-spirit-2023/,babolat-stima-spirit-2023,babolat,Babolat Stima Spirit 2023,Babolat,This padel racket Babolat Round is an ideal model for a level intermediate and stands out for Maneuverability.,https://schema.org/InStock,EUR,129.6,180.0,8.25,6.25,7.75,9.25,8.75,9.25,8.25,Women,Round,Intermediate,Medium,"Medium, Soft",Rough,Control,2023,Eva,Glass Fiber,Carbon,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-technical-veron-2023/,babolat-technical-veron-2023,babolat,Babolat Technical Veron 2023,Babolat,This padel racket Babolat Diamond is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,194.4,240.0,8.7,9.0,9.0,8.0,8.5,9.0,8.7,"Man, Women",Diamond,Intermediate,High,Medium,Rough,Versatile,2023,Eva Black,Carbon Flex,Carbon Flex,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-technical-vertuo-2023/,babolat-technical-vertuo-2023,babolat,Babolat Technical Vertuo 2023,Babolat,This padel racket Babolat Diamond is an ideal model for a level intermediate and stands out for Ball Output.,https://schema.org/InStock,EUR,153.0,180.0,8.35,8.25,7.75,8.75,7.75,9.25,8.35,"Man, Women",Diamond,Intermediate,Medium,"Medium, Soft",Rough,Power,2023,Eva,Glass Fiber,Carbon 100%,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/babolat/babolat-technical-viper-2023/,babolat-technical-viper-2023,babolat,Babolat Technical Viper 2023,Babolat,This padel racket Babolat Diamond is an ideal model for a level intermediate and stands out for Power.,https://schema.org/InStock,EUR,270.22,355.55,8.55,9.75,8.75,8.5,7.5,8.25,8.55,"Man, Women",Diamond,Advanced,High,Hard,Rough,Power,2023,Multieva,Carbon 12K,Carbon,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/black-crown/black-crown-hurricane-20-2023/,black-crown-hurricane-20-2023,black-crown,Black Crown Hurricane 2.0 2023,Black Crown,This padel racket Black Crown Round is an ideal model for a level intermediate and stands out for Maneuverability.,https://schema.org/InStock,EUR,95.05,200.0,8.55,8.25,7.75,9.25,8.25,9.25,8.55,Women,Round,Advanced,Medium,"Medium, Soft",Smooth,Control,2023,Eva Super Control,Glass Fiber x3,Carbon Fiber Double Tubular,Mate
pala-hack,https://pala-hack.com/en/padel-rackets/black-crown/black-crown-hurricane-pro-20-2023/,black-crown-hurricane-pro-20-2023,black-crown,Black Crown Hurricane Pro 2.0 2023,Black Crown,This padel racket Black Crown Round is an ideal model for a level intermediate and stands out for Sweet Spot.,https://schema.org/InStock,EUR,99.95,260.0,8.5,8.5,8.0,8.5,9.0,8.5,8.5,"Man, Women",Round,Advanced,Medium,"Hard, Medium",Rough,Power,2023,Eva Soft Super,Carbon 12K,Carbon Fiber 80% Double Tubular,Relieve 3D
pala-hack,https://pala-hack.com/en/padel-rackets/black-crown/black-crown-piton-11-2023/,black-crown-piton-11-2023,black-crown,Black Crown Piton 11 2023,Black Crown,This padel racket Black Crown Round is an ideal model for a level intermediate and stands out for Control.,https://schema.org/InStock,EUR,221.0,260.0,8.4,8.5,9.0,8.0,8.5,8.0,8.4,"Man, Women",Round,Advanced,Medium,"Hard, Medium",Smooth,Versatile,2023,Eva 3XPlay,Carbon 3K,Carbon Fiber 80% Double Tubular,Mate
